id;caseId;modifyComment;modifyDate;systemUserId;newValue;oldValue;definitionName;version
101;101;Zmiana 1.1;11-11-2013;1;Kowal 1; Kowal 0;NazwiskoKlienta;1
102;101;Zmiana 1.2;12-11-2013;1;Kowal 2; Kowal 1;NazwiskoKlienta;1
103;101;Zmiana 1.3;13-11-2013;1;Kowal 3; Kowal 2;NazwiskoKlienta;1
104;101;Zmiana 1.4;14-11-2013;1;Kowal 4; Kowal 3;NazwiskoKlienta;1
105;102;Zmiana 2.1;15-11-2013;2;Kowal 1; Kowal 0;NazwiskoKlienta;1
106;102;Zmiana 2.2;16-11-2013;2;NW1; NW0;RodzajPolisy;1
107;102;Zmiana 2.3;17-11-2013;2;ON2;NW1;RodzajPolisy;1
108;103;Zmiana 3.1;18-11-2013;2;NW1; NW0;RodzajPolisy;1
109;103;Zmiana 3.2;19-11-2013;2;ON2;NW1;RodzajPolisy;1
#################################
# Uwaga!!!!
# 1. Po każdej modyfikacji pliku należy przeprowadzić WSZYSTKIE zdefiniowane testy!!!!
#################################